# Planet: Rp = 4.0 earthRad, M_p = 20.0 earthMass
# Star: Rstar = 0.5 solRad, Mstar = 0.5 solMass, P_rot = 30.0 d 
# Orbit: P = 20.0 d, dur = 1.9238 h, a = 0.114449 AU, b = 0, i = 1.57 omega = 1.57
# 
# time [hr], radial velocity [m/s]
97.53753754,-5.22787643
98.01801802,-5.19372282
98.49849850,-5.15976069
98.97897898,-5.12598934
99.45945946,-5.09240801
99.93993994,-5.05901596
100.42042042,-5.02581242
100.90090090,-4.99279659
101.38138138,-4.95996768
101.86186186,-4.92732486
102.34234234,-4.89486730
102.82282282,-4.86259417
103.30330330,-4.83050459
103.78378378,-4.79859772
104.26426426,-4.76687267
104.74474474,-4.73532855
105.22522523,-4.70396447
105.70570571,-4.67277953
106.18618619,-4.64177280
106.66666667,-4.61094338
107.14714715,-4.58029034
107.62762763,-4.54981273
108.10810811,-4.51950964
108.58858859,-4.48938010
109.06906907,-4.45942317
109.54954955,-4.42963791
110.03003003,-4.40002334
110.51051051,-4.37057852
110.99099099,-4.34130248
111.47147147,-4.31219425
111.95195195,-4.28325287
112.43243243,-4.25447735
112.91291291,-4.22586674
113.39339339,-4.19742006
113.87387387,-4.16913633
114.35435435,-4.14101458
114.83483483,-4.11305383
115.31531532,-4.08525310
115.79579580,-4.05761142
116.27627628,-4.03012781
116.75675676,-4.00280130
117.23723724,-3.97563091
117.71771772,-3.94861567
118.19819820,-3.92175461
118.67867868,-3.89504674
119.15915916,-3.86849111
119.63963964,-3.84208675
120.12012012,-3.81583268
120.60060060,-3.78972794
121.08108108,-3.76377158
121.56156156,-3.73796262
122.04204204,-3.71230012
122.52252252,-3.68678311
123.00300300,-3.66141065
123.48348348,-3.63618178
123.96396396,-3.61109556
124.44444444,-3.58615104
124.92492492,-3.56134728
125.40540541,-3.53668335
125.88588589,-3.51215831
126.36636637,-3.48777122
126.84684685,-3.46352117
127.32732733,-3.43940722
127.80780781,-3.41542846
128.28828829,-3.39158397
128.76876877,-3.36787283
129.24924925,-3.34429414
129.72972973,-3.32084699
130.21021021,-3.29753048
130.69069069,-3.27434371
131.17117117,-3.25128579
131.65165165,-3.22835582
132.13213213,-3.20555293
132.61261261,-3.18287622
133.09309309,-3.16032482
133.57357357,-3.13789786
134.05405405,-3.11559446
134.53453453,-3.09341377
135.01501502,-3.07135492
135.49549550,-3.04941705
135.97597598,-3.02759931
136.45645646,-3.00590085
136.93693694,-2.98432083
137.41741742,-2.96285840
137.89789790,-2.94151273
138.37837838,-2.92028300
138.85885886,-2.89916836
139.33933934,-2.87816800
139.81981982,-2.85728110
140.30030030,-2.83650684
140.78078078,-2.81584441
141.26126126,-2.79529301
141.74174174,-2.77485183
142.22222222,-2.75452008
142.70270270,-2.73429696
143.18318318,-2.71418168
143.66366366,-2.69417346
144.14414414,-2.67427151
144.62462462,-2.65447506
145.10510511,-2.63478334
145.58558559,-2.61519557
146.06606607,-2.59571100
146.54654655,-2.57632885
147.02702703,-2.55704838
147.50750751,-2.53786883
147.98798799,-2.51878946
148.46846847,-2.49980951
148.94894895,-2.48092825
149.42942943,-2.46214494
149.90990991,-2.44345885
150.39039039,-2.42486924
150.87087087,-2.40637541
151.35135135,-2.38797661
151.83183183,-2.36967215
152.31231231,-2.35146129
152.79279279,-2.33334334
153.27327327,-2.31531759
153.75375375,-2.29738333
154.23423423,-2.27953987
154.71471471,-2.26178652
155.19519520,-2.24412257
155.67567568,-2.22654735
156.15615616,-2.20906017
156.63663664,-2.19166035
157.11711712,-2.17434722
157.59759760,-2.15712010
158.07807808,-2.13997831
158.55855856,-2.12292120
159.03903904,-2.10594811
159.51951952,-2.08905837
160.00000000,-2.07225132
160.48048048,-2.05552632
160.96096096,-2.03888271
161.44144144,-2.02231986
161.92192192,-2.00583711
162.40240240,-1.98943382
162.88288288,-1.97310937
163.36336336,-1.95686311
163.84384384,-1.94069443
164.32432432,-1.92460268
164.80480480,-1.90858725
165.28528529,-1.89264751
165.76576577,-1.87678285
166.24624625,-1.86099266
166.72672673,-1.84527631
167.20720721,-1.82963321
167.68768769,-1.81406274
168.16816817,-1.79856431
168.64864865,-1.78313731
169.12912913,-1.76778114
169.60960961,-1.75249522
170.09009009,-1.73727894
170.57057057,-1.72213172
171.05105105,-1.70705298
171.53153153,-1.69204212
172.01201201,-1.67709857
172.49249249,-1.66222175
172.97297297,-1.64741108
173.45345345,-1.63266599
173.93393393,-1.61798591
174.41441441,-1.60337026
174.89489489,-1.58881849
175.37537538,-1.57433003
175.85585586,-1.55990431
176.33633634,-1.54554079
176.81681682,-1.53123889
177.29729730,-1.51699807
177.77777778,-1.50281778
178.25825826,-1.48869747
178.73873874,-1.47463658
179.21921922,-1.46063458
179.69969970,-1.44669091
180.18018018,-1.43280505
180.66066066,-1.41897644
181.14114114,-1.40520456
181.62162162,-1.39148887
182.10210210,-1.37782883
182.58258258,-1.36422392
183.06306306,-1.35067361
183.54354354,-1.33717736
184.02402402,-1.32373466
184.50450450,-1.31034499
184.98498498,-1.29700781
185.46546547,-1.28372262
185.94594595,-1.27048889
186.42642643,-1.25730612
186.90690691,-1.24417378
187.38738739,-1.23109136
187.86786787,-1.21805836
188.34834835,-1.20507427
188.82882883,-1.19213858
189.30930931,-1.17925078
189.78978979,-1.16641037
190.27027027,-1.15361685
190.75075075,-1.14086973
191.23123123,-1.12816849
191.71171171,-1.11551265
192.19219219,-1.10290171
192.67267267,-1.09033517
193.15315315,-1.07781255
193.63363363,-1.06533335
194.11411411,-1.05289708
194.59459459,-1.04050325
195.07507508,-1.02815138
195.55555556,-1.01584099
196.03603604,-1.00357158
196.51651652,-0.99134269
196.99699700,-0.97915381
197.47747748,-0.96700448
197.95795796,-0.95489422
198.43843844,-0.94282255
198.91891892,-0.93078899
199.39939940,-0.91879307
199.87987988,-0.90683432
200.36036036,-0.89491225
200.84084084,-0.88302641
201.32132132,-0.87117632
201.80180180,-0.85936151
202.28228228,-0.84758152
202.76276276,-0.83583587
203.24324324,-0.82412410
203.72372372,-0.81244575
204.20420420,-0.80080036
204.68468468,-0.78918745
205.16516517,-0.77760658
205.64564565,-0.76605727
206.12612613,-0.75453907
206.60660661,-0.74305152
207.08708709,-0.73159416
207.56756757,-0.72016654
208.04804805,-0.70876820
208.52852853,-0.69739868
209.00900901,-0.68605753
209.48948949,-0.67474430
209.96996997,-0.66345853
210.45045045,-0.65219977
210.93093093,-0.64096758
211.41141141,-0.62976149
211.89189189,-0.61858107
212.37237237,-0.60742587
212.85285285,-0.59629542
213.33333333,-0.58518930
213.81381381,-0.57410705
214.29429429,-0.56304822
214.77477477,-0.55201238
215.25525526,-0.54099907
215.73573574,-0.53000785
216.21621622,-0.51903829
216.69669670,-0.50808993
217.17717718,-0.49716234
217.65765766,-0.48625507
218.13813814,-0.47536768
218.61861862,-0.46449974
219.09909910,-0.45365081
219.57957958,-0.44282043
220.06006006,-0.43200819
220.54054054,-0.42121363
221.02102102,-0.41043632
221.50150150,-0.39967583
221.98198198,-0.38893171
222.46246246,-0.37820354
222.94294294,-0.36749087
223.42342342,-0.35679327
223.90390390,-0.34611031
224.38438438,-0.33544155
224.86486486,-0.32478655
225.34534535,-0.31414489
225.82582583,-0.30351613
226.30630631,-0.29289984
226.78678679,-0.28229558
227.26726727,-0.27170292
227.74774775,-0.26112144
228.22822823,-0.25055070
228.70870871,-0.23999026
229.18918919,-0.22943970
229.66966967,-0.21889859
230.15015015,-0.20836650
230.63063063,-0.19784299
231.11111111,-0.18732763
231.59159159,-0.17682001
232.07207207,-0.16631968
232.55255255,-0.15582622
233.03303303,-0.14533920
233.51351351,-0.13485818
233.99399399,-0.12438275
234.47447447,-0.11391247
234.95495495,-0.10344692
235.43543544,-0.09298566
235.91591592,-0.08252827
236.39639640,-0.07207432
236.87687688,-0.06162338
237.35735736,-0.05117502
237.83783784,-0.04072882
238.31831832,-0.03028435
238.79879880,-0.01984118
239.27927928,-0.00939889
239.75975976,0.00104296
240.24024024,0.01148480
240.72072072,0.02192704
241.20120120,0.03237011
241.68168168,0.04281446
242.16216216,0.05326049
242.64264264,0.06370864
243.12312312,0.07415934
243.60360360,0.08461301
244.08408408,0.09507009
244.56456456,0.10553100
245.04504505,0.11599616
245.52552553,0.12646601
246.00600601,0.13694097
246.48648649,0.14742147
246.96696697,0.15790795
247.44744745,0.16840082
247.92792793,0.17890052
248.40840841,0.18940748
248.88888889,0.19992212
249.36936937,0.21044487
249.84984985,0.22097617
250.33033033,0.23151644
250.81081081,0.24206611
251.29129129,0.25262562
251.77177177,0.26319539
252.25225225,0.27377585
252.73273273,0.28436743
253.21321321,0.29497057
253.69369369,0.30558570
254.17417417,0.31621325
254.65465465,0.32685364
255.13513514,0.33750732
255.61561562,0.34817471
256.09609610,0.35885625
256.57657658,0.36955237
257.05705706,0.38026350
257.53753754,0.39099009
258.01801802,0.40173255
258.49849850,0.41249134
258.97897898,0.42326687
259.45945946,0.43405960
259.93993994,0.44486995
260.42042042,0.45569837
260.90090090,0.46654528
261.38138138,0.47741113
261.86186186,0.48829636
262.34234234,0.49920140
262.82282282,0.51012669
263.30330330,0.52107268
263.78378378,0.53203980
264.26426426,0.54302849
264.74474474,0.55403920
265.22522523,0.56507236
265.70570571,0.57612843
266.18618619,0.58720784
266.66666667,0.59831103
267.14714715,0.60943846
267.62762763,0.62059057
268.10810811,0.63176780
268.58858859,0.64297059
269.06906907,0.65419941
269.54954955,0.66545469
270.03003003,0.67673689
270.51051051,0.68804645
270.99099099,0.69938383
271.47147147,0.71074947
271.95195195,0.72214383
272.43243243,0.73356736
272.91291291,0.74502051
273.39339339,0.75650374
273.87387387,0.76801751
274.35435435,0.77956227
274.83483483,0.79113848
275.31531532,0.80274659
275.79579580,0.81438707
276.27627628,0.82606037
276.75675676,0.83776696
277.23723724,0.84950730
277.71771772,0.86128185
278.19819820,0.87309108
278.67867868,0.88493544
279.15915916,0.89681542
279.63963964,0.90873147
280.12012012,0.92068406
280.60060060,0.93267366
281.08108108,0.94470075
281.56156156,0.95676579
282.04204204,0.96886926
282.52252252,0.98101163
283.00300300,0.99319338
283.48348348,1.00541498
283.96396396,1.01767691
284.44444444,1.02997966
284.92492492,1.04232370
285.40540541,1.05470951
285.88588589,1.06713758
286.36636637,1.07960839
286.84684685,1.09212242
287.32732733,1.10468017
287.80780781,1.11728212
288.28828829,1.12992877
288.76876877,1.14262060
289.24924925,1.15535811
289.72972973,1.16814179
290.21021021,1.18097214
290.69069069,1.19384965
291.17117117,1.20677484
291.65165165,1.21974818
292.13213213,1.23277020
292.61261261,1.24584139
293.09309309,1.25896226
293.57357357,1.27213331
294.05405405,1.28535506
294.53453453,1.29862801
295.01501502,1.31195269
295.49549550,1.32532960
295.97597598,1.33875925
296.45645646,1.35224218
296.93693694,1.36577889
297.41741742,1.37936991
297.89789790,1.39301576
298.37837838,1.40671698
298.85885886,1.42047408
299.33933934,1.43428759
299.81981982,1.44815805
300.30030030,1.46208600
300.78078078,1.47607196
301.26126126,1.49011647
301.74174174,1.50422008
302.22222222,1.51838333
302.70270270,1.53260675
303.18318318,1.54689091
303.66366366,1.56123634
304.14414414,1.57564359
